gene,non_unique_gene_name,annotation,from
cysQ_5,;cysQ_5,hypothetical protein;3'(2')5'-bisphosphate nucleotidase CysQ,cysQ
mlaF,mlaF,Intermembrane phospholipid transport system ATP-binding protein MlaF,mlaF
dat_1,;dat_1,hypothetical protein;D-alanine aminotransferase,dat
pucK,pucK,Uric acid permease PucK,pucK
puuB_3,puuB_3,Gamma-glutamylputrescine oxidoreductase,puuB
yyaP_1,yyaP_1;,putative protein YyaP;hypothetical protein,yyaP
def_1,def_1,Peptide deformylase,def
cymR,cymR,HTH-type transcriptional regulator CymR,cymR
cheD,cheD,Chemoreceptor glutamine deamidase CheD,cheD
tusA,;tusA,hypothetical protein;Sulfur carrier protein TusA,tusA
dadA,dadA,D-amino acid dehydrogenase,dadA
rbsC_20,;rbsC_20,hypothetical protein;Ribose import permease protein RbsC,rbsC
iscS,iscS,Cysteine desulfurase IscS;IscS-like cysteine desulfurase,iscS
gcd,gcd,Quinoprotein glucose dehydrogenase,gcd
pgl,;pgl,hypothetical protein;6-phosphogluconolactonase,pgl
gpt,gpt,Xanthine phosphoribosyltransferase,gpt
rgtE,rgtE,Dodecaprenyl-phosphate galacturonate synthase,rgtE
araF,araF,L-arabinose-binding periplasmic protein,araF
gatD,gatD,Galactitol 1-phosphate 5-dehydrogenase,gatD
mshA_9,mshA_9;,D-inositol-3-phosphate glycosyltransferase;hypothetical protein,mshA
ubiE,ubiE,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,ubiE
azoR,;azoR,hypothetical protein;FMN-dependent NADH-azoreductase,azoR
rbsC_21,;rbsC_21,hypothetical protein;Ribose import permease protein RbsC,rbsC
dagK,dagK,Diacylglycerol kinase,dagK
oppB,oppB,Oligopeptide transport system permease protein OppB,oppB
thiB,thiB,Thiamine-binding periplasmic protein,thiB
fzlC,fzlC,FtsZ-localized protein C,fzlC
arfB,arfB,Peptidyl-tRNA hydrolase ArfB,arfB
acr1,;acr1,hypothetical protein;Fatty acyl-CoA reductase,acr1
crt_2,crt_2,Short-chain-enoyl-CoA hydratase,crt
yjiE,;yjiE,hypothetical protein;HTH-type transcriptional regulator YjiE,yjiE
dppB_4,dppB_4,Dipeptide transport system permease protein DppB,dppB
rna,rna,Ribonuclease I,rna
gdhIV,;gdhIV,hypothetical protein;Glucose 1-dehydrogenase 4,gdhIV
epi,epi,Ethylmalonyl-CoA/methylmalonyl-CoA epimerase,epi
phnW_1,phnW_1,2-aminoethylphosphonate--pyruvate transaminase,phnW
rutR,rutR,HTH-type transcriptional regulator RutR,rutR
aroE_2,;aroE_2,hypothetical protein;Shikimate dehydrogenase (NADP(+)),aroE
xynR_1,;xynR_1,hypothetical protein;HTH-type transcriptional regulator XynR,xynR
yfcG_2,yfcG_2;,Disulfide-bond oxidoreductase YfcG;hypothetical protein,yfcG
ftsA,ftsA;,Cell division protein FtsA;hypothetical protein,ftsA
vibB,vibB,Vibriobactin-specific isochorismatase,vibB
coxM_1,;coxM_1,hypothetical protein;Alternative cytochrome c oxidase subunit 2,coxM
iclR,iclR,Transcriptional repressor IclR,iclR
hom,hom,Homoserine dehydrogenase,hom
acoR,acoR,Acetoin catabolism regulatory protein,acoR
clsB,clsB,Cardiolipin synthase B,clsB
ispE,ispE,Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase;4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,ispE
ispB,ispB;,Octaprenyl diphosphate synthase;hypothetical protein,ispB
tdh_2,tdh_2;,L-threonine 3-dehydrogenase;2-haloacrylate reductase,tdh
mepA,mepA,Penicillin-insensitive murein endopeptidase,mepA
ybaB,ybaB;,Nucleoid-associated protein YbaB;Nucleoid-associated protein,ybaB
dmlR_7,;dmlR_7,hypothetical protein;HTH-type transcriptional regulator DmlR,dmlR
trpD,trpD,Anthranilate phosphoribosyltransferase,trpD
agpA_1,agpA_1;,Periplasmic alpha-galactoside-binding protein;hypothetical protein,agpA
gph_2,gph_2,Phosphoglycolate phosphatase,gph
fabG2,fabG2,putative oxidoreductase,fabG2
clpB,clpB,Chaperone protein ClpB,clpB
lipB,lipB,Octanoyltransferase,lipB
nagR_1,nagR_1;,HTH-type transcriptional repressor NagR;hypothetical protein,nagR
cyoA,;cyoA,hypothetical protein;Cytochrome bo(3) ubiquinol oxidase subunit 2,cyoA
pccB,pccB,Propionyl-CoA carboxylase beta chain,pccB
bhbA,bhbA,Methylmalonyl-CoA mutase,bhbA
rlmD,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,rlmD
odh,odh,Opine dehydrogenase,odh
iorA_2,iorA_2,Isoquinoline 1-oxidoreductase subunit alpha,iorA
lspA,lspA,Lipoprotein signal peptidase,lspA
paoB_2,paoB_2,Aldehyde oxidoreductase FAD-binding subunit PaoB,paoB
oiaK,oiaK,3-oxo-isoapionate kinase,oiaK
dnaK_2,dnaK_2,Chaperone protein DnaK,dnaK
blaP,blaP,Beta-lactamase,blaP
surA,surA,Chaperone SurA,surA
rutE,rutE,malonic semialdehyde reductase RutE,rutE
mprB,;mprB,hypothetical protein;Signal transduction histidine-protein kinase/phosphatase MprB,mprB
napB,napB,Periplasmic nitrate reductase electron transfer subunit,napB
ftsW,ftsW,putative peptidoglycan glycosyltransferase FtsW,ftsW
cntI,cntI,Pseudopaline exporter CntI,cntI
mauC,mauC,Amicyanin,mauC
pcm_4,pcm_4,Protein-L-isoaspartate O-methyltransferase,pcm
hslR,;hslR,hypothetical protein;Heat shock protein 15,hslR
rluB,rluB,Ribosomal large subunit pseudouridine synthase B,rluB
fbcH_2,fbcH_2;,Cytochrome b/c1;hypothetical protein,fbcH
groL1_2,groL1_2,60 kDa chaperonin 1,groL1
groS1_1,groS1_1,10 kDa chaperonin 1,groS1
tufA_1,tufA_1,Elongation factor Tu,tufA
nodM_1,nodM_1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],nodM
icd_1,icd_1,Isocitrate dehydrogenase [NADP],icd
parD1,parD1,Antitoxin ParD1,parD1
dppB_2,dppB_2,Dipeptide transport system permease protein DppB,dppB
cysD_1,cysD_1,Sulfate adenylyltransferase subunit 2,cysD
aldHT,aldHT,Aldehyde dehydrogenase thermostable,aldHT
rpmJ,rpmJ,50S ribosomal protein L36,rpmJ
rpmG,rpmG,50S ribosomal protein L33,rpmG
betA_1,betA_1,Oxygen-dependent choline dehydrogenase,betA
rpmF,rpmF,50S ribosomal protein L32,rpmF
secE,secE,Protein translocase subunit SecE,secE
rpmC,rpmC,50S ribosomal protein L29,rpmC
cspA_8,cspA_8,Cold shock protein CspA,cspA
rpmI,rpmI,50S ribosomal protein L35,rpmI
rpmD,rpmD,50S ribosomal protein L30,rpmD
tatA,tatA,Sec-independent protein translocase protein TatA,tatA
cspA_7,cspA_7,Cold shock protein CspA,cspA
slyX,slyX,Protein SlyX,slyX
cspA_2,cspA_2,Cold shock protein CspA,cspA
cspA_1,cspA_1,Cold shock protein CspA,cspA
yacG,yacG,DNA gyrase inhibitor YacG,yacG
cspJ,cspJ,Cold shock-like protein CspJ,cspJ
cspC,cspC,Cold shock protein CspC,cspC
infA,infA,Translation initiation factor IF-1,infA
rpmE,rpmE,50S ribosomal protein L31,rpmE
atpE,atpE,ATP synthase subunit c,atpE
vapB_2,vapB_2,Antitoxin VapB,vapB
rpsQ,rpsQ,30S ribosomal protein S17,rpsQ
rpsU_1,rpsU_1,30S ribosomal protein S21,rpsU
hfq,hfq,RNA-binding protein Hfq,hfq
purS,purS,Phosphoribosylformylglycinamidine synthase subunit PurS,purS
rpsR,rpsR,30S ribosomal protein S18,rpsR
xseB,xseB,Exodeoxyribonuclease 7 small subunit,xseB
rpsU_2,rpsU_2,30S ribosomal protein S21,rpsU
vapB1,vapB1,Antitoxin VapB1,vapB1
minE,minE,Cell division topological specificity factor,minE
rpsT,rpsT,30S ribosomal protein S20,rpsT
rpmA,rpmA,50S ribosomal protein L27,rpmA
rpsO,rpsO,30S ribosomal protein S15,rpsO
hupB,hupB,DNA-binding protein HRm,hupB
soxD_1,soxD_1,Sarcosine oxidase subunit delta,soxD
rpsS,rpsS,30S ribosomal protein S19,rpsS
nodF,nodF,Nodulation protein F,nodF
bolA,bolA,DNA-binding transcriptional regulator BolA,bolA
acpXL,acpXL,Acyl carrier protein AcpXL,acpXL
grxC,grxC,Glutaredoxin 3,grxC
paaB,paaB,12-phenylacetyl-CoA epoxidase subunit B,paaB
napD,napD,Chaperone NapD,napD
ubiK,ubiK,Ubiquinone biosynthesis accessory factor UbiK,ubiK
rpmB,rpmB,50S ribosomal protein L28,rpmB
yciI,yciI,Protein YciI,yciI
rplW,rplW,50S ribosomal protein L23,rplW
fixX,fixX,Ferredoxin-like protein FixX,fixX
higB1,higB-1,Toxin HigB-1,higB1
virB2_1,virB2_1,Type IV secretion system protein virB2,virB2
ureA,ureA,Urease subunit gamma,ureA
pchB,pchB,Isochorismate pyruvate lyase,pchB
rpsN,rpsN,30S ribosomal protein S14,rpsN
clpS2,clpS2,ATP-dependent Clp protease adapter protein ClpS 2,clpS2
ureB1,ureB1,Urease subunit beta 1,ureB1
higA1,higA-1,Antitoxin HigA-1,higA1
nuoK_1,nuoK_1,NADH-quinone oxidoreductase subunit K,nuoK
rpsJ,rpsJ,30S ribosomal protein S10,rpsJ
ihfB,ihfB,Integration host factor subunit beta,ihfB
rplX,rplX,50S ribosomal protein L24,rplX
phhB,phhB,Putative pterin-4-alpha-carbinolamine dehydratase,phhB
rhaM_2,rhaM_2,L-rhamnose mutarotase,rhaM
gdx,gdx,Guanidinium exporter,gdx
lsrG,lsrG,(4S)-4-hydroxy-5-phosphonooxypentane-23-dione isomerase,lsrG
groS5,groS5,10 kDa chaperonin 5,groS5
bigR,bigR,Biofilm growth-associated repressor,bigR
doxA_1,doxA_1,Naphthalene 12-dioxygenase system ferredoxin component,doxA
fdxE,fdxE,Ferredoxin-6,fdxE
hisE,hisE,Phosphoribosyl-ATP pyrophosphatase,hisE
sdpR,sdpR,Transcriptional repressor SdpR,sdpR
virB3_2,virB3_2,Type IV secretion system protein virB3,virB3
mdtI,mdtI,Spermidine export protein MdtI,mdtI
erpA,erpA,Iron-sulfur cluster insertion protein ErpA,erpA
hspQ,hspQ,Heat shock protein HspQ,hspQ
rhaM_1,rhaM_1,L-rhamnose mutarotase,rhaM
yhjQ,yhjQ,putative cysteine-rich protein YhjQ,yhjQ
yajC,yajC,Sec translocon accessory complex subunit YajC,yajC
fliE,fliE,Flagellar hook-basal body complex protein FliE,fliE
grxD,grxD,Glutaredoxin 4,grxD
glnK,glnK,Nitrogen regulatory protein P-II 2,glnK
ihfA,ihfA,Integration host factor subunit alpha,ihfA
glnB,glnB,Nitrogen regulatory protein P-II,glnB
hcaC,hcaC,3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit,hcaC
soxD_2,soxD_2,Sarcosine oxidase subunit delta,soxD
csaA,csaA,putative chaperone CsaA,csaA
emrE,emrE,Multidrug transporter EmrE,emrE
yabJ_5,yabJ_5,2-iminobutanoate/2-iminopropanoate deaminase,yabJ
mdtJ,mdtJ,Spermidine export protein MdtJ,mdtJ
hlyU,hlyU,Transcriptional activator HlyU,hlyU
yffB,yffB,Protein YffB,yffB
mrpG_1,mrpG_1,Na(+)/H(+) antiporter subunit G,mrpG
clpS,clpS,ATP-dependent Clp protease adapter protein ClpS,clpS
ybaA,ybaA,putative protein YbaA,ybaA
queD,queD,6-carboxy-5678-tetrahydropterin synthase,queD
cpdR_2,cpdR_2,Response regulator receiver protein CpdR,cpdR
cpdR_1,cpdR_1,Response regulator receiver protein CpdR,cpdR
rplR,rplR,50S ribosomal protein L18,rplR
gcvH,gcvH,Glycine cleavage system H protein,gcvH
mrpG_2,mrpG_2,Na(+)/H(+) antiporter subunit G,mrpG
cheY_2,cheY_2,Chemotaxis protein CheY,cheY
ndhC_1,ndhC_1,NAD(P)H-quinone oxidoreductase subunit 3,ndhC
divK_1,divK_1,Polar-differentiation response regulator DivK,divK
cseB,cseB,Transcriptional regulatory protein CseB,cseB
ehpR,ehpR,Phenazine antibiotic resistance protein EhpR,ehpR
rplN,rplN,50S ribosomal protein L14,rplN
rpsM,rpsM,30S ribosomal protein S13,rpsM
rplU,rplU,50S ribosomal protein L21,rplU
divK_2,divK_2,Polar-differentiation response regulator DivK,divK
rpsL,rpsL,30S ribosomal protein S12,rpsL
folB,folB,Dihydroneopterin aldolase,folB
pucM_2,pucM_2,5-hydroxyisourate hydrolase,pucM
rpsP,rpsP,30S ribosomal protein S16,rpsP
rutC,rutC,Putative aminoacrylate peracid reductase RutC,rutC
mgsA,mgsA,Methylglyoxal synthase,mgsA
rplL,rplL,50S ribosomal protein L7/L12,rplL
ridA_1,ridA_1,2-iminobutanoate/2-iminopropanoate deaminase,ridA
tdcF,tdcF,Putative reactive intermediate deaminase TdcF,tdcF
rplV,rplV,50S ribosomal protein L22,rplV
rpsK,rpsK,30S ribosomal protein S11,rpsK
cbbS,cbbS,Ribulose bisphosphate carboxylase small chain 1,cbbS
yabJ_2,yabJ_2,2-iminobutanoate/2-iminopropanoate deaminase,yabJ
yabJ_6,yabJ_6,2-iminobutanoate/2-iminopropanoate deaminase,yabJ
sdhC,sdhC,Succinate dehydrogenase cytochrome b556 subunit,sdhC
apaG,apaG,Protein ApaG,apaG
iscA,iscA,Iron-binding protein IscA,iscA
zur,zur,Zinc uptake regulation protein,zur
rnpA,rnpA,Ribonuclease P protein component,rnpA
rpsH,rpsH,30S ribosomal protein S8,rpsH
atpC,atpC,ATP synthase epsilon chain,atpC
vapC_4,vapC_4,tRNA(fMet)-specific endonuclease VapC,vapC
vapC2,vapC2,Ribonuclease VapC2,vapC2
nudG,nudG,CTP pyrophosphohydrolase,nudG
rbfA,rbfA,Ribosome-binding factor A,rbfA
rnk_1,rnk_1,Regulator of nucleoside diphosphate kinase,rnk
msrB_1,msrB_1,Peptide methionine sulfoxide reductase MsrB,msrB
rpoZ,rpoZ,DNA-directed RNA polymerase subunit omega,rpoZ
hmrR_2,hmrR_2,HTH-type transcriptional regulator HmrR,hmrR
rplP,rplP,50S ribosomal protein L16,rplP
fitB_1,fitB_1,Toxin FitB,fitB
flgC,flgC,Flagellar basal-body rod protein FlgC,flgC
acpS,acpS,Holo-[acyl-carrier-protein] synthase,acpS
dksA_1,dksA_1,RNA polymerase-binding transcription factor DksA,dksA
yqjF_1,yqjF_1,Inner membrane protein YqjF,yqjF
perR_2,perR_2,Peroxide operon regulator,perR
ohrB_1,ohrB_1,Organic hydroperoxide resistance protein OhrB,ohrB
sufE,sufE,Cysteine desulfuration protein SufE,sufE
ndk,ndk,Nucleoside diphosphate kinase,ndk
vapC_3,vapC_3,tRNA(fMet)-specific endonuclease VapC,vapC
rplQ,rplQ,50S ribosomal protein L17,rplQ
exbD,exbD,Biopolymer transport protein ExbD,exbD
fur,fur,Ferric uptake regulation protein,fur
fucU_2,fucU_2,L-fucose mutarotase,fucU
mscL,mscL,Large-conductance mechanosensitive channel,mscL
yccU,yccU,putative protein YccU,yccU
rplK,rplK,50S ribosomal protein L11,rplK
cbiG,cbiG,Cobalt-precorrin-5A hydrolase,cbiG
petE,petE,Plastocyanin,petE
lrp_4,lrp_4,Leucine-responsive regulatory protein,lrp
infC,infC,Translation initiation factor IF-3,infC
ibpA_2,ibpA_2,Small heat shock protein IbpA,ibpA
ros_1,ros_1,Transcriptional regulatory protein ros,ros
lrpC,lrpC,HTH-type transcriptional regulator LrpC,lrpC
yqjF_2,yqjF_2,Inner membrane protein YqjF,yqjF
eryI,eryI,D-erythrulose-4-phosphate isomerase,eryI
mraZ,mraZ,Transcriptional regulator MraZ,mraZ
hrp1,hrp1,Hypoxic response protein 1,hrp1
hprK,hprK,HPr kinase/phosphorylase,hprK
aroQ,aroQ,3-dehydroquinate dehydratase,aroQ
rpiB,rpiB,Ribose-5-phosphate isomerase B,rpiB
yqaA,yqaA,Inner membrane protein YqaA,yqaA
flbT,flbT,flagellum biosynthesis repressor protein FlbT,flbT
tadA_2,tadA_2,tRNA-specific adenosine deaminase,tadA
rpsF,rpsF,30S ribosomal protein S6,rpsF
ratA,ratA,Ribosome association toxin RatA,ratA
yqeY,yqeY,putative protein YqeY,yqeY
tolR,tolR,Tol-Pal system protein TolR,tolR
ccmE,ccmE,Cytochrome c-type biogenesis protein CcmE,ccmE
slyA_2,slyA_2,Transcriptional regulator SlyA,slyA
ybgC,ybgC,Acyl-CoA thioesterase YbgC,ybgC
ybbJ,ybbJ,Inner membrane protein YbbJ,ybbJ
ccmH,ccmH,Cytochrome c-type biogenesis protein CcmH,ccmH
cdd,cdd,Cytidine deaminase,cdd
iorA_1,iorA_1,Isoquinoline 1-oxidoreductase subunit alpha,iorA
ibpA_3,ibpA_3,Small heat shock protein IbpA,ibpA
rnhA,rnhA,Ribonuclease HI,rnhA
ribH1,ribH1,67-dimethyl-8-ribityllumazine synthase 1,ribH1
lrp_2,lrp_2,Leucine-responsive regulatory protein,lrp
paaZ_1,paaZ_1,Bifunctional protein PaaZ,paaZ
asnC,asnC,Regulatory protein AsnC,asnC
lrp_6,lrp_6,Leucine-responsive regulatory protein,lrp
ptsN,ptsN,Nitrogen regulatory protein,ptsN
nsrR_1,nsrR_1,HTH-type transcriptional repressor NsrR,nsrR
rplM,rplM,50S ribosomal protein L13,rplM
fabZ,fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,fabZ
decR_2,decR_2,DNA-binding transcriptional activator DecR,decR
cheW_1,cheW_1,Chemotaxis protein CheW,cheW
cheW_2,cheW_2,Chemotaxis protein CheW,cheW
moaE,moaE,Molybdopterin synthase catalytic subunit,moaE
rpsI,rpsI,30S ribosomal protein S9,rpsI
bcp_1,bcp_1,Putative peroxiredoxin bcp,bcp
rpsG,rpsG,30S ribosomal protein S7,rpsG
rplO,rplO,50S ribosomal protein L15,rplO
lrp_3,lrp_3,Leucine-responsive regulatory protein,lrp
decR_1,decR_1,DNA-binding transcriptional activator DecR,decR
kbp,kbp,Potassium binding protein Kbp,kbp
ybaK,ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,ybaK
slyA_1,slyA_1,Transcriptional regulator SlyA,slyA
ribH2,ribH2,67-dimethyl-8-ribityllumazine synthase 2,ribH2
lrp_9,lrp_9,Leucine-responsive regulatory protein,lrp
ohrR_2,ohrR_2,Organic hydroperoxide resistance transcriptional regulator,ohrR
accB,accB,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB
greA,greA,Transcription elongation factor GreA,greA
yiaM_1,yiaM_1,23-diketo-L-gulonate TRAP transporter small permease protein YiaM,yiaM
lrp_5,lrp_5,Leucine-responsive regulatory protein,lrp
cheW_3,cheW_3,Chemotaxis protein CheW,cheW
hndA,hndA,NADP-reducing hydrogenase subunit HndA,hndA
arsC_2,arsC_2,Arsenate reductase,arsC
smpB,smpB,SsrA-binding protein,smpB
greB,greB,Transcription elongation factor GreB,greB
rlmH,rlmH,Ribosomal RNA large subunit methyltransferase H,rlmH
nusB,nusB,Transcription antitermination protein NusB,nusB
mnhE1,mnhE1,Na(+)/H(+) antiporter subunit E1,mnhE1
atpF,atpF,ATP synthase subunit b,atpF
PGdx,PGdx,Hybrid peroxiredoxin hyPrx5,PGdx
soxR,soxR,Redox-sensitive transcriptional activator SoxR,soxR
ndhS_1,ndhS_1,Nicotinate dehydrogenase small FeS subunit,ndhS
cutS,cutS,Carbon monoxide dehydrogenase small chain,cutS
rsfS,rsfS,Ribosomal silencing factor RsfS,rsfS
yciF,yciF,Protein YciF,yciF
nuoI,nuoI,NADH-quinone oxidoreductase subunit I,nuoI
coaD,coaD,Phosphopantetheine adenylyltransferase,coaD
msrB_2,msrB_2,Peptide methionine sulfoxide reductase MsrB,msrB
moaC,moaC,Cyclic pyranopterin monophosphate synthase,moaC
lrp_1,lrp_1,Leucine-responsive regulatory protein,lrp
yrrK,yrrK,Putative pre-16S rRNA nuclease,yrrK
pncC,pncC,Nicotinamide-nucleotide amidohydrolase PncC,pncC
eis_1,eis_1,N-acetyltransferase Eis,eis
nicA,nicA,Nicotinate dehydrogenase subunit A,nicA
nuoJ_2,nuoJ_2,NADH-quinone oxidoreductase subunit J,nuoJ
nqo6,nqo6,NADH-quinone oxidoreductase subunit 6,nqo6
rimI,rimI,[Ribosomal protein S18]-alanine N-acetyltransferase,rimI
nqo2_2,nqo2_2,NADH-quinone oxidoreductase subunit 2,nqo2
ybeY,ybeY,Endoribonuclease YbeY,ybeY
nsrR_2,nsrR_2,HTH-type transcriptional repressor NsrR,nsrR
bamE,bamE,Outer membrane protein assembly factor BamE,bamE
yciE,yciE,Protein YciE,yciE
dsbB,dsbB,Disulfide bond formation protein B,dsbB
purE,purE,N5-carboxyaminoimidazole ribonucleotide mutase,purE
allA_2,allA_2,Ureidoglycolate lyase,allA
fabA,fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,fabA
ecfG_3,ecfG_3,ECF RNA polymerase sigma factor EcfG,ecfG
sodC,sodC,Superoxide dismutase [Cu-Zn],sodC
ssb,ssb,Single-stranded DNA-binding protein,ssb
folK,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,folK
mobB,mobB,Molybdopterin-guanine dinucleotide biosynthesis adapter protein,mobB
paaD,paaD,Putative 12-phenylacetyl-CoA epoxidase subunit D,paaD
rppH,rppH,RNA pyrophosphohydrolase,rppH
ttr,ttr,Acetyltransferase,ttr
hpaC,hpaC,4-hydroxyphenylacetate 3-monooxygenase reductase component,hpaC
cobP,cobP,Bifunctional adenosylcobalamin biosynthesis protein CobP,cobP
pal_2,pal_2,Peptidoglycan-associated lipoprotein,pal
nusG,nusG,Transcription termination/antitermination protein NusG,nusG
yrdA,yrdA,Protein YrdA,yrdA
cycB_2,cycB_2,Cytochrome c-553I,cycB
ppa,ppa,Inorganic pyrophosphatase,ppa
rplF,rplF,50S ribosomal protein L6,rplF
ecfG_4,ecfG_4,ECF RNA polymerase sigma factor EcfG,ecfG
def_2,def_2,Peptide deformylase,def
ecfG_5,ecfG_5,ECF RNA polymerase sigma factor EcfG,ecfG
apt,apt,Adenine phosphoribosyltransferase,apt
hpt,hpt,Hypoxanthine phosphoribosyltransferase,hpt
puuR,puuR,HTH-type transcriptional regulator PuuR,puuR
secB,secB,Protein-export protein SecB,secB
lemA,lemA,Protein LemA,lemA
maa,maa,Maltose O-acetyltransferase,maa
chaC,chaC,Glutathione-specific gamma-glutamylcyclotransferase,chaC
sigR,sigR,ECF RNA polymerase sigma factor SigR,sigR
ecfG_2,ecfG_2,ECF RNA polymerase sigma factor EcfG,ecfG
pitA,pitA,L-methionine sulfoximine/L-methionine sulfone acetyltransferase,pitA
hslV,hslV,ATP-dependent protease subunit HslV,hslV
rplE,rplE,50S ribosomal protein L5,rplE
msuE,msuE,FMN reductase (NADPH),msuE
lptA,lptA,Lipopolysaccharide export system protein LptA,lptA
frr,frr,Ribosome-recycling factor,frr
rimM,rimM,Ribosome maturation factor RimM,rimM
dhfrIII,dhfrIII,Dihydrofolate reductase type 3,dhfrIII
rfbC_2,rfbC_2,dTDP-4-dehydrorhamnose 35-epimerase,rfbC
ndhI,ndhI,NAD(P)H-quinone oxidoreductase subunit I chloroplastic,ndhI
atpH,atpH,ATP synthase subunit delta,atpH
dut,dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,dut
nfuA,nfuA,Fe/S biogenesis protein NfuA,nfuA
paoA_3,paoA_3,Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA,paoA
efp,efp,Elongation factor P,efp
rpsE,rpsE,30S ribosomal protein S5,rpsE
gfa,gfa,Glutathione-dependent formaldehyde-activating enzyme,gfa
hpf,hpf,Ribosome hibernation promoting factor,hpf
ppiA,ppiA,Peptidyl-prolyl cis-trans isomerase A,ppiA
ilvH,ilvH,Acetolactate synthase small subunit,ilvH
rplI,rplI,50S ribosomal protein L9,rplI
aroK,aroK,Shikimate kinase,aroK
sutR,sutR,HTH-type transcriptional regulator SutR,sutR
nuoB,nuoB,NADH-quinone oxidoreductase subunit B,nuoB
adk,adk,Adenylate kinase,adk
petA,petA,Ubiquinol-cytochrome c reductase iron-sulfur subunit,petA
coaE,coaE,Dephospho-CoA kinase,coaE
regA,regA,Photosynthetic apparatus regulatory protein RegA,regA
yhbO_2,yhbO_2,Protein/nucleic acid deglycase 2,yhbO
thpR,thpR,RNA 2'3'-cyclic phosphodiesterase,thpR
clpP_1,clpP_1,ATP-dependent Clp protease proteolytic subunit,clpP
nodA,nodA,Nodulation protein A,nodA
eis_2,eis_2,N-acetyltransferase Eis,eis
